##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] pair=settle_to_post name=objptr_table_80660000 changed_words_total=4 detailed_words_logged=4
[DIFF_REGION] pair=settle_to_post name=objptr_table_80660000 changed_words_total=5 detailed_words_logged=5
[DIFF_REGION] pair=settle_to_post name=objptr_table_80660000 changed_words_total=7 detailed_words_logged=7
[DIFF_REGION] pair=settle_to_post name=resume_context_2200 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=10 detailed_words_logged=10
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=11 detailed_words_logged=11
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=12 detailed_words_logged=12
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=13 detailed_words_logged=13
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=14 detailed_words_logged=14
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=15 detailed_words_logged=15
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=16 detailed_words_logged=16
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=17 detailed_words_logged=17
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=18 detailed_words_logged=18
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=19 detailed_words_logged=19
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=4 detailed_words_logged=4
[DIFF_REGION] pair=settle_to_post name=stack_frame_1700 changed_words_total=5 detailed_words_logged=5
[DIFF_REGION] pair=settle_to_post name=vr4131_bcu_window changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=vr4131_core_page skipped from_ok=0 to_ok=0
[DIFF_REGION] pair=settle_to_post name=vr4131_icu_pmu_window changed_words_total=3 detailed_words_logged=3
